,service_level,max_guest,no_bedroom,no_bed,no_bathroom,rating,no_review,price,type,area,amenities
237,SUPERHOST,2.0,1.0,1.0,1.0,4.67,49,35.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
238,REGULAR,2.0,1.0,1.0,1.5,4.86,0,68.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
239,SUPERHOST,3.0,1.0,2.0,1.0,4.88,43,40.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
240,REGULAR,2.0,1.0,1.0,1.0,4.69,137,20.0,Hut,Sukawati,"Wifi,none,none,none"
241,REGULAR,6.0,3.0,3.0,3.0,4.86,0,107.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
242,SUPERHOST,2.0,1.0,1.0,1.0,4.84,138,107.0,Entire villa,Ubud,"Pool,Wifi,Kitchen,none"
243,REGULAR,8.0,3.0,3.0,3.5,4.81,27,413.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
244,REGULAR,2.0,7.0,7.0,7.0,4.65,55,15.0,Private room,Ubud,"Wifi,Air conditioning,none,none"
245,PLUS,2.0,1.0,1.0,1.0,4.72,86,75.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
246,REGULAR,2.0,1.0,1.0,1.0,4.67,3,112.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
247,SUPERHOST,2.0,1.0,1.0,1.0,5.0,16,17.0,Entire residential home,Ubud,"Wifi,Air conditioning,Kitchen,none"
248,REGULAR,2.0,1.0,1.0,1.0,4.86,0,47.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
249,REGULAR,2.0,1.0,1.0,1.0,5.0,11,97.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
250,PLUS,2.0,1.0,1.0,1.0,4.91,48,44.0,Entire cabin,Blahbatuh,"Wifi,Air conditioning,none,none"
251,REGULAR,14.0,6.0,6.0,6.0,4.71,24,768.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
252,REGULAR,2.0,1.0,1.0,1.0,4.86,22,11.0,Private room,Ubud,"Wifi,Air conditioning,none,none"
253,PLUS,2.0,1.0,1.0,1.0,4.76,25,108.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
254,REGULAR,2.0,1.0,1.0,1.0,4.65,147,24.0,Entire rental unit,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
255,SUPERHOST,2.0,1.0,1.0,1.5,5.0,10,44.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
256,PLUS,2.0,1.0,1.0,1.5,4.83,41,64.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
257,SUPERHOST,2.0,1.0,1.0,1.0,4.8,35,40.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
258,SUPERHOST,2.0,1.0,1.0,1.5,4.86,0,59.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
259,SUPERHOST,4.0,2.0,2.0,2.0,4.86,0,71.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
260,REGULAR,2.0,1.0,1.0,1.0,4.53,78,15.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
261,SUPERHOST,6.0,3.0,3.0,3.0,4.8,182,155.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
262,SUPERHOST,4.0,1.0,2.0,1.0,4.56,317,39.0,Private room,Ubud,"Pool,Wifi,none,none"
263,SUPERHOST,2.0,1.0,2.0,1.0,4.79,245,74.0,Entire loft,Ubud,"Wifi,Kitchen,none,none"
264,SUPERHOST,2.0,1.0,1.0,1.0,4.73,37,40.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
265,REGULAR,2.0,1.0,1.0,1.0,4.86,0,40.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
266,REGULAR,4.0,2.0,2.0,2.0,4.86,0,46.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
267,REGULAR,2.0,1.0,1.0,1.0,3.92,13,39.0,Hut,Ubud,"none,none,none,none"
268,SUPERHOST,3.0,1.0,1.0,1.0,5.0,4,139.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
269,REGULAR,2.0,1.0,1.0,1.0,4.61,352,40.0,Dome house,Ubud,"Pool,Wifi,none,none"
270,PLUS,4.0,2.0,2.0,2.5,4.97,86,400.0,Entire villa,Gianyar,"Pool,Wifi,Air conditioning,Kitchen"
271,REGULAR,2.0,1.0,1.0,1.0,4.86,0,71.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
272,REGULAR,5.0,2.0,2.0,2.0,4.64,170,63.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
273,SUPERHOST,2.0,1.0,1.0,1.0,5.0,4,79.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
274,REGULAR,3.0,1.0,1.0,1.0,4.61,175,39.0,Hut,Blahbatuh,"Wifi,none,none,none"
275,REGULAR,2.0,1.0,1.0,1.0,4.86,0,17.0,Room in boutique hotel,Gianyar,"Pool,Wifi,Air conditioning,none"
276,SUPERHOST,2.0,1.0,1.0,1.5,4.89,9,128.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,none"
277,REGULAR,2.0,1.0,1.0,1.0,5.0,4,154.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
278,REGULAR,2.0,1.0,1.0,1.0,4.7,182,41.0,Entire villa,Ubud,"Pool,Wifi,Kitchen,none"
279,SUPERHOST,2.0,1.0,1.0,1.0,4.75,42,86.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
280,REGULAR,2.0,1.0,1.0,1.0,4.86,0,52.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
281,REGULAR,4.0,2.0,2.0,2.0,4.93,14,295.0,Dome house,Ubud,"Wifi,Air conditioning,none,none"
282,SUPERHOST,2.0,1.0,1.0,1.0,4.8,10,173.0,Entire bungalow,Ubud,"Pool,Wifi,Air conditioning,none"
283,REGULAR,2.0,1.0,1.0,1.0,4.75,56,60.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
284,SUPERHOST,2.0,1.0,1.0,1.0,4.9,122,34.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
285,REGULAR,2.0,1.0,1.0,1.0,4.86,0,32.0,Room in boutique hotel,Gianyar,"Pool,Wifi,Air conditioning,none"
286,SUPERHOST,2.0,1.0,1.0,1.5,4.5,4,53.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
287,SUPERHOST,2.0,1.0,1.0,1.0,4.8,40,34.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
288,SUPERHOST,4.0,2.0,2.0,2.0,4.86,0,307.0,Entire rental unit,Tampaksiring,"Pool,Wifi,Air conditioning,Kitchen"
289,REGULAR,2.0,1.0,1.0,1.0,4.86,0,25.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
290,SUPERHOST,2.0,2.0,2.0,2.5,4.86,0,302.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
291,REGULAR,2.0,1.0,1.0,1.0,4.7,10,18.0,Private room,Ubud,"Wifi,Air conditioning,Kitchen,none"
292,PLUS,8.0,3.0,5.0,3.0,4.88,378,280.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
293,REGULAR,10.0,4.0,6.0,4.0,4.86,0,359.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
294,SUPERHOST,2.0,1.0,1.0,1.0,4.86,97,16.0,Private room,Ubud,"Wifi,none,none,none"
295,REGULAR,5.0,2.0,2.0,2.0,4.57,7,171.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
296,REGULAR,2.0,1.0,1.0,1.0,4.84,133,50.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
297,REGULAR,2.0,1.0,1.0,1.0,4.86,7,19.0,Entire rental unit,Ubud,"Wifi,Kitchen,none,none"
298,REGULAR,2.0,1.0,1.0,1.0,4.77,13,100.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
299,SUPERHOST,4.0,2.0,2.0,2.0,4.68,53,59.0,Entire residential home,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
