,service_level,max_guest,no_bedroom,no_bed,no_bathroom,rating,no_review,price,type,area,amenities
89,REGULAR,2.0,1.0,1.0,1.0,4.86,0,24.0,Resort room,Tegalalang,"Pool,Wifi,Air conditioning,Kitchen"
90,SUPERHOST,2.0,1.0,1.0,1.0,4.88,171,23.0,Entire townhouse,Ubud,"Wifi,Air conditioning,Kitchen,none"
91,REGULAR,2.0,1.0,1.0,1.0,4.86,0,90.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
92,REGULAR,2.0,1.0,1.0,1.0,4.86,0,60.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,none"
93,SUPERHOST,4.0,2.0,2.0,2.0,5.0,4,64.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
94,REGULAR,2.0,1.0,1.0,1.0,4.86,0,36.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
95,REGULAR,2.0,1.0,1.0,1.0,5.0,3,39.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,none"
96,REGULAR,2.0,1.0,1.0,1.0,4.6,86,33.0,Private room,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
97,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,161.0,Entire villa,Payangan,"Pool,Wifi,Air conditioning,none"
98,PLUS,2.0,1.0,1.0,1.0,4.93,41,121.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
99,SUPERHOST,2.0,1.0,2.0,1.0,4.86,0,72.0,Entire villa,Tegalalang,"Pool,Wifi,Air conditioning,Kitchen"
100,SUPERHOST,16.0,5.0,7.0,5.5,4.72,153,198.0,Treehouse,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
101,REGULAR,2.0,1.0,1.0,1.0,4.86,0,256.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
102,SUPERHOST,2.0,1.0,1.0,1.0,4.76,59,17.0,Entire place,Ubud,"Pool,Wifi,Kitchen,none"
103,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,63.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
104,REGULAR,2.0,1.0,1.0,1.5,4.86,0,75.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
105,SUPERHOST,2.0,1.0,1.0,1.0,4.62,182,23.0,Hotel room,Ubud,"Wifi,Air conditioning,none,none"
106,PLUS,4.0,2.0,2.0,2.0,4.98,44,200.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
107,SUPERHOST,3.0,1.0,1.0,1.0,4.24,34,68.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
108,PLUS,2.0,1.0,1.0,1.0,4.96,74,193.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
109,SUPERHOST,2.0,1.0,1.0,1.5,4.84,45,48.0,Entire rental unit,Ubud,"Wifi,Air conditioning,Kitchen,none"
110,SUPERHOST,3.0,1.0,2.0,1.0,4.67,152,59.0,Entire residential home,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
111,REGULAR,2.0,1.0,1.0,1.0,4.75,4,60.0,Room in boutique hotel,Ubud,"Wifi,Air conditioning,Kitchen,none"
112,REGULAR,5.0,2.0,2.0,2.0,4.86,0,107.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
113,SUPERHOST,2.0,1.0,1.0,1.0,4.73,131,34.0,Entire rental unit,Ubud,"Pool,Wifi,Kitchen,none"
114,SUPERHOST,2.0,1.0,1.0,1.0,4.9,29,25.0,Entire villa,Tegalalang,"Wifi,Air conditioning,Kitchen,none"
115,PLUS,2.0,1.0,1.0,1.0,4.75,106,112.0,Entire residential home,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
116,SUPERHOST,2.0,1.0,1.0,1.5,4.86,0,88.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
117,REGULAR,2.0,1.0,1.0,1.0,4.91,23,63.0,Private room,Tegalalang,"Pool,Wifi,Air conditioning,none"
118,REGULAR,2.0,1.0,1.0,1.0,4.86,0,25.0,Resort room,Ubud,"Pool,Wifi,Air conditioning,none"
119,REGULAR,2.0,1.0,1.0,1.5,5.0,7,24.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
120,SUPERHOST,2.0,1.0,1.0,1.0,4.96,212,101.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
121,REGULAR,4.0,2.0,2.0,1.0,4.65,152,202.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
122,SUPERHOST,2.0,1.0,1.0,1.0,4.91,68,14.0,Hotel room,Ubud,"Pool,Wifi,Air conditioning,none"
123,REGULAR,2.0,1.0,1.0,1.0,4.86,0,66.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
124,REGULAR,14.0,6.0,9.0,6.0,4.94,31,768.0,Entire villa,Gianyar,"Pool,Wifi,Air conditioning,Kitchen"
125,PLUS,4.0,2.0,2.0,3.0,5.0,25,399.0,Entire villa,Ubud,"Pool,Wifi,Kitchen,none"
126,SUPERHOST,2.0,1.0,1.0,1.0,4.75,36,95.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
127,SUPERHOST,4.0,2.0,2.0,2.0,5.0,17,62.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
128,SUPERHOST,2.0,1.0,1.0,1.5,4.83,6,13.0,Entire residential home,Ubud,"Wifi,Air conditioning,Kitchen,none"
129,SUPERHOST,4.0,2.0,2.0,2.0,4.84,68,144.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
130,REGULAR,2.0,1.0,1.0,1.0,4.86,0,91.0,Entire villa,Tegalalang,"Wifi,Air conditioning,none,none"
131,REGULAR,2.0,1.0,1.0,1.0,4.71,14,24.0,Entire guesthouse,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
132,SUPERHOST,7.0,1.0,1.0,2.0,4.93,67,143.0,Entire villa,Tegalalang,"Pool,Wifi,Air conditioning,Kitchen"
133,SUPERHOST,2.0,1.0,1.0,2.0,4.65,330,20.0,Shared room,Ubud,"Pool,Wifi,none,none"
134,REGULAR,4.0,2.0,2.0,2.0,4.75,196,80.0,Entire villa,Ubud,"Pool,Wifi,Kitchen,none"
135,REGULAR,2.0,1.0,1.0,1.0,4.86,0,28.0,Resort room,Ubud,"Pool,Wifi,Air conditioning,none"
136,SUPERHOST,2.0,1.0,1.0,1.0,4.86,0,14.0,Private room,Ubud,"Wifi,Air conditioning,Kitchen,none"
137,SUPERHOST,2.0,1.0,1.0,1.0,4.75,150,132.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,none"
138,SUPERHOST,4.0,2.0,2.0,2.0,4.9,124,91.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
139,PLUS,7.0,3.0,3.0,3.0,4.84,316,149.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
140,SUPERHOST,2.0,1.0,1.0,1.0,5.0,7,36.0,Hut,Ubud,"Wifi,none,none,none"
141,REGULAR,6.0,3.0,3.0,3.5,4.83,131,172.0,Entire villa,Ubud,"Pool,Wifi,Kitchen,none"
142,SUPERHOST,4.0,2.0,2.0,2.5,4.86,0,195.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
143,SUPERHOST,2.0,1.0,1.0,2.0,4.85,27,206.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
144,SUPERHOST,4.0,2.0,2.0,2.0,4.91,180,127.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
145,REGULAR,3.0,1.0,2.0,1.0,4.9,60,273.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
146,PLUS,4.0,1.0,1.0,1.0,4.79,213,202.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
147,SUPERHOST,2.0,1.0,1.0,1.5,4.93,132,58.0,Entire bungalow,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
148,SUPERHOST,4.0,1.0,2.0,1.0,4.65,582,83.0,Hut,Ubud,"Pool,Wifi,none,none"
149,REGULAR,2.0,1.0,1.0,1.0,4.64,174,50.0,Private room,Ubud,"Wifi,Air conditioning,none,none"
150,SUPERHOST,4.0,1.0,2.0,1.5,4.62,421,60.0,Private room,Ubud,"Pool,Wifi,none,none"
151,SUPERHOST,2.0,1.0,1.0,1.0,5.0,4,72.0,Entire cottage,Gianyar,"Pool,Wifi,Air conditioning,none"
152,REGULAR,2.0,1.0,1.0,1.0,4.86,0,24.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
153,REGULAR,4.0,2.0,2.0,2.0,4.69,36,40.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
154,SUPERHOST,4.0,2.0,2.0,2.5,4.79,43,224.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
155,REGULAR,2.0,1.0,1.0,1.0,4.2,5,68.0,Entire villa,Tegalalang,"Pool,Wifi,Kitchen,none"
156,REGULAR,10.0,4.0,6.0,4.0,4.88,16,531.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
157,REGULAR,2.0,1.0,1.0,1.0,5.0,3,24.0,Entire serviced apartment,Tampaksiring,"Pool,Wifi,Air conditioning,Kitchen"
158,SUPERHOST,2.0,1.0,1.0,1.0,5.0,8,155.0,Entire villa,Ubud,"Pool,Wifi,Air conditioning,Kitchen"
159,SUPERHOST,3.0,1.0,2.0,1.0,4.86,0,16.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
160,REGULAR,2.0,1.0,1.0,1.0,4.86,0,40.0,Private room,Ubud,"Pool,Wifi,Air conditioning,none"
161,REGULAR,2.0,1.0,1.0,1.0,4.96,25,96.0,Entire villa,Payangan,"Pool,Wifi,Air conditioning,none"
162,REGULAR,2.0,1.0,1.0,1.0,4.86,0,80.0,Room in boutique hotel,Ubud,"Pool,Wifi,Air conditioning,none"
